Line #   | Statement                                          | #failedTests(s) | #passedTests(s) | total_failed | Suspiciousness 
----------------------------------------------------------------------------------------------------------------------------------
136      | 	    alt_sep = UPWARD_RA; // Mutant: changed UNRES | 615             | 0               | 615          | 378225000000.0 
133      | 	else if (need_downward_RA)                        | 615             | 125             | 615          | 3025.8         
59       | int Inhibit_Biased_Climb ()                        | 615             | 269             | 615          | 1406.04        
61       |     return (Climb_Inhibit ? Up_Separation + NOZCRO | 615             | 269             | 615          | 1406.04        
64       | bool Non_Crossing_Biased_Climb()                   | 615             | 269             | 615          | 1406.04        
70       |     upward_preferred = Inhibit_Biased_Climb() > Do | 615             | 269             | 615          | 1406.04        
71       |     if (upward_preferred)                          | 615             | 269             | 615          | 1406.04        
79       |     return result;                                 | 615             | 269             | 615          | 1406.04        
82       | bool Non_Crossing_Biased_Descend()                 | 615             | 269             | 615          | 1406.04        
88       |     upward_preferred = Inhibit_Biased_Climb() > Do | 615             | 269             | 615          | 1406.04        
89       |     if (upward_preferred)                          | 615             | 269             | 615          | 1406.04        
97       |     return result;                                 | 615             | 269             | 615          | 1406.04        
124      | 	need_upward_RA = Non_Crossing_Biased_Climb() && O | 615             | 269             | 615          | 1406.04        
125      | 	need_downward_RA = Non_Crossing_Biased_Descend()  | 615             | 269             | 615          | 1406.04        
126      | 	if (need_upward_RA && need_downward_RA)           | 615             | 269             | 615          | 1406.04        
131      | 	else if (need_upward_RA)                          | 615             | 269             | 615          | 1406.04        
137      |     }                                              | 615             | 269             | 615          | 1406.04        
105      | bool Own_Above_Threat()                            | 456             | 125             | 615          | 732.17         
107      |     return (Other_Tracked_Alt < Own_Tracked_Alt);  | 456             | 125             | 615          | 732.17         
46       | void initialize()                                  | 615             | 961             | 615          | 393.57         
48       |     Positive_RA_Alt_Thresh[0] = 400;               | 615             | 961             | 615          | 393.57         
49       |     Positive_RA_Alt_Thresh[1] = 500;               | 615             | 961             | 615          | 393.57         
50       |     Positive_RA_Alt_Thresh[2] = 640;               | 615             | 961             | 615          | 393.57         
51       |     Positive_RA_Alt_Thresh[3] = 740;               | 615             | 961             | 615          | 393.57         
52       | }                                                  | 615             | 961             | 615          | 393.57         
110      | int alt_sep_test()                                 | 615             | 961             | 615          | 393.57         
116      |     enabled = High_Confidence && (Own_Tracked_Alt_ | 615             | 961             | 615          | 393.57         
117      |     tcas_equipped = Other_Capability == TCAS_TA;   | 615             | 961             | 615          | 393.57         
118      |     intent_not_known = Two_of_Three_Reports_Valid  | 615             | 961             | 615          | 393.57         
120      |     alt_sep = UNRESOLVED;                          | 615             | 961             | 615          | 393.57         
122      |     if (enabled && ((tcas_equipped && intent_not_k | 615             | 961             | 615          | 393.57         
139      |     return alt_sep;                                | 615             | 961             | 615          | 393.57         
155      |     initialize();                                  | 615             | 961             | 615          | 393.57         
156      |     Cur_Vertical_Sep = atoi(argv[1]);              | 615             | 961             | 615          | 393.57         
157      |     High_Confidence = atoi(argv[2]);               | 615             | 961             | 615          | 393.57         
158      |     Two_of_Three_Reports_Valid = atoi(argv[3]);    | 615             | 961             | 615          | 393.57         
159      |     Own_Tracked_Alt = atoi(argv[4]);               | 615             | 961             | 615          | 393.57         
160      |     Own_Tracked_Alt_Rate = atoi(argv[5]);          | 615             | 961             | 615          | 393.57         
161      |     Other_Tracked_Alt = atoi(argv[6]);             | 615             | 961             | 615          | 393.57         
162      |     Alt_Layer_Value = atoi(argv[7]);               | 615             | 961             | 615          | 393.57         
163      |     Up_Separation = atoi(argv[8]);                 | 615             | 961             | 615          | 393.57         
164      |     Down_Separation = atoi(argv[9]);               | 615             | 961             | 615          | 393.57         
165      |     Other_RAC = atoi(argv[10]);                    | 615             | 961             | 615          | 393.57         
166      |     Other_Capability = atoi(argv[11]);             | 615             | 961             | 615          | 393.57         
167      |     Climb_Inhibit = atoi(argv[12]);                | 615             | 961             | 615          | 393.57         
169      |     fprintf(stdout, "%d\n", alt_sep_test());       | 615             | 961             | 615          | 393.57         
170      |     exit(0);                                       | 615             | 961             | 615          | 393.57         
142      | main(argc, argv)                                   | 615             | 992             | 615          | 381.28         
146      |     if(argc < 13)                                  | 615             | 992             | 615          | 381.28         
73       | 	result = !(Own_Below_Threat()) || ((Own_Below_Thr | 333             | 144             | 615          | 260.3          
74       |     }                                              | 333             | 144             | 615          | 260.3          
91       | 	result = Own_Below_Threat() && (Cur_Vertical_Sep  | 333             | 144             | 615          | 260.3          
92       |     }                                              | 333             | 144             | 615          | 260.3          
100      | bool Own_Below_Threat()                            | 333             | 269             | 615          | 201.25         
102      |     return (Own_Tracked_Alt < Other_Tracked_Alt);  | 333             | 269             | 615          | 201.25         
77       | 	result = Own_Above_Threat() && (Cur_Vertical_Sep  | 282             | 125             | 615          | 173.63         
95       | 	result = !(Own_Above_Threat()) || ((Own_Above_Thr | 282             | 125             | 615          | 173.63         
54       | int ALIM ()                                        | 293             | 269             | 615          | 145.26         
56       |  return Positive_RA_Alt_Thresh[Alt_Layer_Value];   | 293             | 269             | 615          | 145.26         
132      | 	    alt_sep = UPWARD_RA;                          | 0               | 144             | 615          | 0.0            
134      | 	    alt_sep = DOWNWARD_RA;                        | 0               | 125             | 615          | 0.0            
148      | 	fprintf(stdout, "Error: Command line arguments ar | 0               | 31              | 615          | 0.0            
149      | 	fprintf(stdout, "Cur_Vertical_Sep, High_Confidenc | 0               | 31              | 615          | 0.0            
150      | 	fprintf(stdout, "Own_Tracked_Alt, Own_Tracked_Alt | 0               | 31              | 615          | 0.0            
151      | 	fprintf(stdout, "Alt_Layer_Value, Up_Separation,  | 0               | 31              | 615          | 0.0            
152      | 	fprintf(stdout, "Other_RAC, Other_Capability, Cli | 0               | 31              | 615          | 0.0            
153      | 	exit(1);                                          | 0               | 31              | 615          | 0.0            
