Line #   | Statement                                          | #failedTests(s) | #passedTests(s) | total_failed | Suspiciousness 
----------------------------------------------------------------------------------------------------------------------------------
46       | void initialize()                                  | 0               | 1576            | 0            | 0.0            
48       |     Positive_RA_Alt_Thresh[0] = 400;               | 0               | 1576            | 0            | 0.0            
49       |     Positive_RA_Alt_Thresh[1] = 500;               | 0               | 1576            | 0            | 0.0            
50       |     Positive_RA_Alt_Thresh[2] = 640;               | 0               | 1576            | 0            | 0.0            
51       |     Positive_RA_Alt_Thresh[3] = 740;               | 0               | 1576            | 0            | 0.0            
52       | }                                                  | 0               | 1576            | 0            | 0.0            
54       | int ALIM ()                                        | 0               | 562             | 0            | 0.0            
56       |  return Positive_RA_Alt_Thresh[Alt_Layer_Value];   | 0               | 562             | 0            | 0.0            
59       | int Inhibit_Biased_Climb ()                        | 0               | 884             | 0            | 0.0            
61       |     return (Climb_Inhibit ? Up_Separation + NOZCRO | 0               | 884             | 0            | 0.0            
64       | bool Non_Crossing_Biased_Climb()                   | 0               | 884             | 0            | 0.0            
70       |     upward_preferred = Inhibit_Biased_Climb() > Do | 0               | 884             | 0            | 0.0            
71       |     if (upward_preferred)                          | 0               | 884             | 0            | 0.0            
73       | 	result = !(Own_Below_Threat()) || ((Own_Below_Thr | 0               | 477             | 0            | 0.0            
74       |     }                                              | 0               | 477             | 0            | 0.0            
77       | 	result = Own_Above_Threat() && (Cur_Vertical_Sep  | 0               | 407             | 0            | 0.0            
79       |     return result;                                 | 0               | 884             | 0            | 0.0            
82       | bool Non_Crossing_Biased_Descend()                 | 0               | 884             | 0            | 0.0            
88       |     upward_preferred = Inhibit_Biased_Climb() > Do | 0               | 884             | 0            | 0.0            
89       |     if (upward_preferred)                          | 0               | 884             | 0            | 0.0            
91       | 	result = Own_Below_Threat() && (Cur_Vertical_Sep  | 0               | 477             | 0            | 0.0            
92       |     }                                              | 0               | 477             | 0            | 0.0            
95       | 	result = Own_Above_Threat() && Up_Separation >= A | 0               | 407             | 0            | 0.0            
