Line #   | Statement                                          | #failedTests(s) | #passedTests(s) | total_failed | Suspiciousness 
----------------------------------------------------------------------------------------------------------------------------------
73       | 	result = !(Own_Below_Threat()) || ((Own_Below_Thr | 79              | 593             | 79           | 10.52          
74       |     }                                              | 79              | 593             | 79           | 10.52          
91       | 	result = Own_Below_Threat() && (Cur_Vertical_Sep  | 79              | 593             | 79           | 10.52          
92       |     }                                              | 79              | 593             | 79           | 10.52          
100      | bool Own_Below_Threat()                            | 79              | 673             | 79           | 9.27           
102      |     return (Own_Tracked_Alt < Other_Tracked_Alt);  | 79              | 673             | 79           | 9.27           
59       | int Inhibit_Biased_Climb ()                        | 79              | 805             | 79           | 7.75           
61       |     return (Climb_Inhibit ? Up_Separation + NOZCRO | 79              | 805             | 79           | 7.75           
64       | bool Non_Crossing_Biased_Climb()                   | 79              | 805             | 79           | 7.75           
70       |     upward_preferred = Inhibit_Biased_Climb() > Do | 79              | 805             | 79           | 7.75           
71       |     if (upward_preferred)                          | 79              | 805             | 79           | 7.75           
79       |     return result;                                 | 79              | 805             | 79           | 7.75           
82       | bool Non_Crossing_Biased_Descend()                 | 79              | 805             | 79           | 7.75           
88       |     upward_preferred = Inhibit_Biased_Climb() > Do | 79              | 805             | 79           | 7.75           
89       |     if (upward_preferred)                          | 79              | 805             | 79           | 7.75           
97       |     return result;                                 | 79              | 805             | 79           | 7.75           
124      | 	need_upward_RA = Non_Crossing_Biased_Climb() && O | 79              | 805             | 79           | 7.75           
125      | 	need_downward_RA = Non_Crossing_Biased_Descend()  | 79              | 805             | 79           | 7.75           
126      | 	if (need_upward_RA && need_downward_RA)           | 79              | 805             | 79           | 7.75           
131      | 	else if (need_upward_RA)                          | 79              | 805             | 79           | 7.75           
137      |     }                                              | 79              | 805             | 79           | 7.75           
132      | 	    alt_sep = UPWARD_RA;                          | 34              | 144             | 79           | 6.12           
46       | void initialize()                                  | 79              | 1497            | 79           | 4.17           
48       |     Positive_RA_Alt_Thresh[0] = 400;               | 79              | 1497            | 79           | 4.17           
49       |     Positive_RA_Alt_Thresh[1] = 500;               | 79              | 1497            | 79           | 4.17           
50       |     Positive_RA_Alt_Thresh[2] = 640;               | 79              | 1497            | 79           | 4.17           
51       |     Positive_RA_Alt_Thresh[3] = 740;               | 79              | 1497            | 79           | 4.17           
52       | }                                                  | 79              | 1497            | 79           | 4.17           
110      | int alt_sep_test()                                 | 79              | 1497            | 79           | 4.17           
